date,geoid,value
2015-01-01,01,0
2015-01-01,02,0
2015-01-01,04,0
2015-01-01,05,0
2015-01-01,06,1
2015-01-01,08,0
2015-01-01,09,0
2015-01-01,10,0
2015-01-01,11,0
2015-01-01,12,0
2015-01-01,13,0
2015-01-01,15,0
2015-01-01,16,0
2015-01-01,17,0
2015-01-01,18,0
2015-01-01,19,0
2015-01-01,20,0
2015-01-01,21,0
2015-01-01,22,0
2015-01-01,23,0
2015-01-01,24,0
2015-01-01,25,0
2015-01-01,26,0
2015-01-01,27,0
2015-01-01,28,0
2015-01-01,29,0
2015-01-01,30,0
2015-01-01,31,0
2015-01-01,32,0
2015-01-01,33,0
2015-01-01,34,0
2015-01-01,35,0
2015-01-01,36,0
2015-01-01,37,0
2015-01-01,38,0
2015-01-01,39,0
2015-01-01,40,0
2015-01-01,41,0
2015-01-01,42,0
2015-01-01,44,0
2015-01-01,45,0
2015-01-01,46,0
2015-01-01,47,0
2015-01-01,48,0
2015-01-01,49,0
2015-01-01,50,0
2015-01-01,51,0
2015-01-01,53,0
2015-01-01,54,0
2015-01-01,55,0
2015-01-01,56,0
2015-01-01,72,0
2015-01-02,01,0
2015-01-02,02,0
2015-01-02,04,0
2015-01-02,05,0
2015-01-02,06,0
2015-01-02,08,0
2015-01-02,09,0
2015-01-02,10,0
2015-01-02,11,0
2015-01-02,12,0
2015-01-02,13,0
2015-01-02,15,0
2015-01-02,16,0
2015-01-02,17,0
2015-01-02,18,0
2015-01-02,19,0
2015-01-02,20,0
2015-01-02,21,0
2015-01-02,22,0
2015-01-02,23,0
2015-01-02,24,0
2015-01-02,25,0
2015-01-02,26,0
2015-01-02,27,0
2015-01-02,28,0
2015-01-02,29,0
2015-01-02,30,0
2015-01-02,31,0
2015-01-02,32,0
2015-01-02,33,0
2015-01-02,34,0
2015-01-02,35,0
2015-01-02,36,0
2015-01-02,37,0
2015-01-02,38,0
2015-01-02,39,0
2015-01-02,40,0
2015-01-02,41,0
2015-01-02,42,0
2015-01-02,44,0
2015-01-02,45,0
2015-01-02,46,0
2015-01-02,47,0
2015-01-02,48,0
2015-01-02,49,0
2015-01-02,50,1
2015-01-02,51,0
2015-01-02,53,0
2015-01-02,54,0
2015-01-02,55,0
2015-01-02,56,0
2015-01-02,72,0
2015-01-03,01,0
2015-01-03,02,0
2015-01-03,04,0
2015-01-03,05,0
2015-01-03,06,0
2015-01-03,08,0
2015-01-03,09,0
2015-01-03,10,0
2015-01-03,11,0
2015-01-03,12,0
2015-01-03,13,0
2015-01-03,15,0
2015-01-03,16,0
2015-01-03,17,0
2015-01-03,18,0
2015-01-03,19,0
2015-01-03,20,0
2015-01-03,21,0
2015-01-03,22,0
2015-01-03,23,0
2015-01-03,24,0
2015-01-03,25,0
2015-01-03,26,0
2015-01-03,27,0
2015-01-03,28,0
2015-01-03,29,0
2015-01-03,30,0
2015-01-03,31,0
2015-01-03,32,0
2015-01-03,33,0
2015-01-03,34,0
2015-01-03,35,0
2015-01-03,36,0
2015-01-03,37,0
2015-01-03,38,0
2015-01-03,39,0
2015-01-03,40,0
2015-01-03,41,0
2015-01-03,42,0
2015-01-03,44,0
2015-01-03,45,0
2015-01-03,46,0
2015-01-03,47,0
2015-01-03,48,0
2015-01-03,49,0
2015-01-03,50,0
2015-01-03,51,0
2015-01-03,53,0
2015-01-03,54,0
2015-01-03,55,0
2015-01-03,56,0
2015-01-03,72,0
2015-01-04,01,0
2015-01-04,02,0
2015-01-04,04,0
2015-01-04,05,0
2015-01-04,06,0
2015-01-04,08,0
2015-01-04,09,0
2015-01-04,10,0
2015-01-04,11,0
2015-01-04,12,1
2015-01-04,13,0
2015-01-04,15,0
2015-01-04,16,0
2015-01-04,17,0
2015-01-04,18,0
2015-01-04,19,0
2015-01-04,20,0
2015-01-04,21,0
2015-01-04,22,0
2015-01-04,23,0
2015-01-04,24,0
2015-01-04,25,0
2015-01-04,26,0
2015-01-04,27,0
2015-01-04,28,0
2015-01-04,29,0
2015-01-04,30,0
2015-01-04,31,0
2015-01-04,32,0
2015-01-04,33,0
2015-01-04,34,0
2015-01-04,35,0
2015-01-04,36,0
2015-01-04,37,0
2015-01-04,38,0
2015-01-04,39,0
2015-01-04,40,0
2015-01-04,41,0
2015-01-04,42,0
2015-01-04,44,0
2015-01-04,45,0
2015-01-04,46,0
2015-01-04,47,0
2015-01-04,48,0
2015-01-04,49,0
2015-01-04,50,0
2015-01-04,51,0
2015-01-04,53,0
2015-01-04,54,0
2015-01-04,55,0
2015-01-04,56,0
2015-01-04,72,0
2015-01-05,01,0
2015-01-05,02,0
2015-01-05,04,0
2015-01-05,05,0
2015-01-05,06,0
2015-01-05,08,0
2015-01-05,09,0
2015-01-05,10,0
2015-01-05,11,0
2015-01-05,12,0
2015-01-05,13,0
2015-01-05,15,0
2015-01-05,16,0
2015-01-05,17,0
2015-01-05,18,0
2015-01-05,19,0
2015-01-05,20,0
2015-01-05,21,0
2015-01-05,22,0
2015-01-05,23,0
2015-01-05,24,0
2015-01-05,25,0
2015-01-05,26,0
2015-01-05,27,0
2015-01-05,28,0
2015-01-05,29,0
2015-01-05,30,0
2015-01-05,31,0
2015-01-05,32,0
2015-01-05,33,0
2015-01-05,34,0
2015-01-05,35,0
2015-01-05,36,0
2015-01-05,37,0
2015-01-05,38,0
2015-01-05,39,0
2015-01-05,40,0
2015-01-05,41,0
2015-01-05,42,0
2015-01-05,44,0
2015-01-05,45,0
2015-01-05,46,0
2015-01-05,47,0
2015-01-05,48,0
2015-01-05,49,0
2015-01-05,50,0
2015-01-05,51,0
2015-01-05,53,0
2015-01-05,54,0
2015-01-05,55,0
2015-01-05,56,0
2015-01-05,72,0
2015-01-06,01,0
2015-01-06,02,0
2015-01-06,04,0
2015-01-06,05,0
2015-01-06,06,0
2015-01-06,08,0
2015-01-06,09,0
2015-01-06,10,0
2015-01-06,11,0
2015-01-06,12,0
2015-01-06,13,0
2015-01-06,15,0
2015-01-06,16,0
2015-01-06,17,0
2015-01-06,18,0
2015-01-06,19,0
2015-01-06,20,0
2015-01-06,21,0
2015-01-06,22,0
2015-01-06,23,0
