date,geoid,value
2015-01-01,06001,0
2015-01-01,06003,0
2015-01-01,06005,0
2015-01-01,06007,0
2015-01-01,06009,0
2015-01-01,06011,0
2015-01-01,06013,0
2015-01-01,06015,0
2015-01-01,06017,0
2015-01-01,06019,0
2015-01-01,06021,0
2015-01-01,06023,0
2015-01-01,06025,0
2015-01-01,06027,0
2015-01-01,06029,1
2015-01-01,06031,0
2015-01-01,06033,0
2015-01-01,06035,0
2015-01-01,06037,2
2015-01-01,06039,0
2015-01-01,06041,0
2015-01-01,06043,0
2015-01-01,06045,0
2015-01-01,06047,0
2015-01-01,06049,0
2015-01-01,06051,0
2015-01-01,06053,0
2015-01-01,06055,0
2015-01-01,06057,0
2015-01-01,06059,0
2015-01-01,06061,0
2015-01-01,06063,0
2015-01-01,06065,0
2015-01-01,06067,0
2015-01-01,06069,0
2015-01-01,06071,0
2015-01-01,06073,0
2015-01-01,06075,0
2015-01-01,06077,0
2015-01-01,06079,0
2015-01-01,06081,0
2015-01-01,06083,0
2015-01-01,06085,0
2015-01-01,06087,0
2015-01-01,06089,0
2015-01-01,06091,0
2015-01-01,06093,0
2015-01-01,06095,0
2015-01-01,06097,0
2015-01-01,06099,0
2015-01-01,06101,0
2015-01-01,06103,0
2015-01-01,06105,0
2015-01-01,06107,0
2015-01-01,06109,0
2015-01-01,06111,1
2015-01-01,06113,0
2015-01-01,06115,0
2015-01-02,06001,0
2015-01-02,06003,0
2015-01-02,06005,0
2015-01-02,06007,0
2015-01-02,06009,0
2015-01-02,06011,0
2015-01-02,06013,0
2015-01-02,06015,0
2015-01-02,06017,0
2015-01-02,06019,0
2015-01-02,06021,0
2015-01-02,06023,0
2015-01-02,06025,0
2015-01-02,06027,0
2015-01-02,06029,2
2015-01-02,06031,1
2015-01-02,06033,0
2015-01-02,06035,0
2015-01-02,06037,2
2015-01-02,06039,0
2015-01-02,06041,0
2015-01-02,06043,0
2015-01-02,06045,0
2015-01-02,06047,0
2015-01-02,06049,0
2015-01-02,06051,0
2015-01-02,06053,0
2015-01-02,06055,0
2015-01-02,06057,0
2015-01-02,06059,1
2015-01-02,06061,0
2015-01-02,06063,0
2015-01-02,06065,0
2015-01-02,06067,0
2015-01-02,06069,0
2015-01-02,06071,0
2015-01-02,06073,0
2015-01-02,06075,0
2015-01-02,06077,0
2015-01-02,06079,0
2015-01-02,06081,0
2015-01-02,06083,0
2015-01-02,06085,0
2015-01-02,06087,0
2015-01-02,06089,0
